Lead ID,Age,Gender,Location,Income,Education Level,Number of times contacted,Marketing channel,Campaign effectiveness,Website visits,Time spent on website,Pages viewed,Previous product interactions,Outcome
1,64,Male,Houston,57354,Ph.D.,9,Email,0.9187550772894507,5,31.065614244072982,8,1,1
2,42,Female,Chicago,111928,Ph.D.,17,Social Media,0.4519519381955578,9,34.17773411797736,9,1,0
3,52,Female,Chicago,88443,Bachelor,1,Phone Call,0.6498174603209349,3,10.221927195624412,10,1,1
4,27,Female,Los Angeles,47373,High School,8,Phone Call,0.4659539590638945,5,1.642678128150492,9,0,1
5,37,Female,New York,97386,High School,4,Email,0.769794734646126,5,44.928894834533395,3,0,0
6,27,Female,Chicago,113935,Master,5,Phone Call,0.19020457725508988,5,31.058677125371585,8,0,1
7,24,Female,New York,115096,Bachelor,14,Email,0.9980622092591087,8,8.123577856008735,4,1,0
8,38,Female,New York,46916,High School,3,Social Media,0.17606550975555246,1,56.873169032682306,8,1,0
9,38,Female,Houston,108234,Master,4,Email,0.41576076690746533,9,19.967928147293254,4,0,0
10,58,Male,New York,105169,Master,16,Phone Call,0.34997281964780036,7,19.73071345619249,8,1,0
11,25,Female,Houston,69695,Ph.D.,5,Social Media,0.7390467440223101,10,28.9987327264812,6,1,1
12,52,Male,Los Angeles,104928,Ph.D.,5,Social Media,0.3154568801805212,2,32.23921568962025,6,0,0
13,44,Female,Los Angeles,111234,High School,13,Email,0.3293584442046451,0,54.24264821756462,4,1,1
14,45,Other,Chicago,119385,Master,3,Social Media,0.2136555428446072,5,23.175229093852806,6,0,0
15,30,Male,Los Angeles,51922,Ph.D.,6,Social Media,0.2897699712966695,10,20.00201306455712,9,1,0
16,62,Female,Houston,92120,Master,13,Email,0.021259160259345822,1,16.813800496540853,9,1,0
17,27,Female,Los Angeles,119769,Master,15,Social Media,0.8747996880722888,6,25.005817534775055,8,1,1
18,60,Female,Houston,119469,Ph.D.,15,Email,0.554413950750824,4,36.34962341045651,3,1,0
19,27,Other,Los Angeles,108808,High School,15,Phone Call,0.10792893469013365,9,46.964129614405664,3,1,0
20,19,Female,New York,76980,High School,13,Email,0.7862634537236417,6,32.52264319129513,3,1,1
21,62,Female,Chicago,44690,Master,9,Email,0.7189405920771401,10,36.749019402773,3,1,0
22,18,Female,Chicago,107450,Ph.D.,11,Email,0.139732302978387,10,44.203618076090486,5,1,0
23,53,Other,Los Angeles,73425,Master,11,Social Media,0.222188469966212,4,48.58893076190417,6,0,0
24,31,Male,Los Angeles,56160,Master,10,Phone Call,0.2753378396914219,3,10.410244376388478,7,1,1
25,50,Other,Los Angeles,35013,High School,13,Phone Call,0.8925583262054659,6,14.248747568612037,5,0,1
26,38,Female,Los Angeles,66429,Ph.D.,15,Social Media,0.9624498807324928,2,41.265364547898656,2,1,1
27,23,Female,Los Angeles,115845,Ph.D.,10,Social Media,0.4071826178860303,1,4.141803062020406,4,0,0
28,54,Other,New York,74301,Bachelor,19,Email,0.11335130262632487,3,42.26504523265358,8,1,1
29,53,Male,New York,69174,Master,2,Email,0.49118596492398514,4,5.289897745197605,1,0,1
30,37,Male,Houston,95161,Ph.D.,6,Social Media,0.727511547402363,4,27.13394621612857,1,1,1
31,57,Other,Chicago,40530,Bachelor,20,Social Media,0.7179747973942104,7,31.02704718643556,6,1,0
32,49,Female,Houston,57574,Bachelor,17,Social Media,0.3799899667401777,2,28.799344704201822,7,0,1
33,36,Other,Los Angeles,51699,Master,3,Phone Call,0.4360473510948649,5,41.353206080404206,5,0,0
34,41,Other,Los Angeles,40357,Bachelor,17,Social Media,0.5299898744433843,6,13.231979627127938,3,0,0
35,63,Female,Chicago,53847,Bachelor,18,Phone Call,0.5331582726046402,8,0.3500165539179245,10,0,1
36,34,Male,New York,38129,Bachelor,4,Phone Call,0.5078377189615919,8,8.326697923462119,8,0,1
37,30,Male,Chicago,93518,Ph.D.,17,Email,0.23890983839865643,9,5.707030053932407,10,1,0
38,44,Female,New York,103037,Bachelor,7,Phone Call,0.15440467031794503,0,8.965512948865728,7,0,1
39,65,Male,New York,79573,Master,12,Phone Call,0.8131871161556072,7,3.7007274302250415,1,1,1
